instance,cohort,n,published_BKV,best,mean,std_f,mean_time_to_best_seconds,std_time_to_best_seconds,gain_over_published_BKV
bmcp_5000_5200_0.5_7000,II_large,10,2225839,2227362,2227362,0,10.150164649984799,8.50213428895069,1523
bmcp_5000_5200_0.3_10000,II_large,10,2354408,2354408,2354408,0,0.4103329299832694,0.17917662089918462,0
bmcp_5000_5000_0.5_7000,II_large,10,2151921,2151921,2151921,0,2.072409670019988,1.1778342005554765,0
bmcp_5000_5000_0.3_10000,II_large,10,2261620,2261620,2261620,0,0.32561160003533585,0.10739946092593255,0
bmcp_5000_4800_0.5_7000,II_large,10,2070143,2070324,2070324,0,8.498150210012682,4.593226320243161,181
bmcp_5000_4800_0.3_10000,II_large,10,2184508,2184508,2184508,0,0.21373640998499469,0.04895485432624625,0
bmcp_4800_5000_0.5_7000,II_large,10,2151715,2151715,2151715,0,4.735810919990763,4.144608746027127,0
bmcp_4800_5000_0.3_10000,II_large,10,2280317,2280317,2280317,0,0.257191070006229,0.10898403304600209,0
bmcp_4800_4800_0.5_7000,II_large,10,2075133,2075133,2075133,0,7.055666949995794,8.993776259226687,0
bmcp_4800_4800_0.3_10000,II_large,10,2185367,2185367,2185367,0,0.2949535300023854,0.3345132955630744,0
bmcp_4800_4600_0.5_7000,II_large,10,1992370,1992370,1992370,0,0.9736221900093369,0.5789765636580293,0
bmcp_4800_4600_0.3_10000,II_large,10,2101148,2101148,2101148,0,0.40970406000269577,0.2417828325620065,0
bmcp_4600_4800_0.5_7000,II_large,10,2071179,2074036,2074036,0,1.721897379984148,0.5806960662901172,2857
bmcp_4600_4800_0.3_10000,II_large,10,2203833,2203833,2203833,0,0.3001366300159134,0.2508985915963021,0
bmcp_4600_4600_0.5_7000,II_large,10,1984295,1984295,1984295,0,2.6724775900132953,2.3806345260548745,0
bmcp_4600_4600_0.3_10000,II_large,10,2106970,2106970,2106970,0,0.264645780029241,0.12003011955521604,0
bmcp_4600_4400_0.5_7000,II_large,10,1901834,1901868,1901868,0,19.719350440020207,44.54521887965227,34
bmcp_4600_4400_0.3_10000,II_large,10,2011730,2011730,2011730,0,0.49983317997539417,0.22885817459498237,0
bmcp_4400_4600_0.5_7000,II_large,10,1991870,1991870,1991870,0,0.6538940400001593,0.2076064242619941,0
bmcp_4400_4600_0.3_10000,II_large,10,2100925,2100925,2100925,0,0.27085219002328814,0.0880043972947355,0
